Year;Birth;Marriage;Death;diff;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;
1786;176;48;70;106;10;16;16;11;11;13;13;14;12;21;20;19;6;7;16;6;6;4;6;1;6;6;1;5;
1787;142;49;81;61;23;23;15;16;4;12;7;7;8;11;8;8;11;8;6;7;8;4;6;5;8;8;8;2;
1788;111;50;88;23;16;15;17;3;5;4;6;9;9;7;7;13;12;3;4;6;6;13;13;8;8;6;4;5;
1789;90;20;50;40;9;8;7;3;6;3;5;10;12;9;9;9;6;6;6;0;6;1;4;2;4;4;6;5;
1790;85;17;102;-17;10;9;7;7;4;3;2;7;6;11;14;5;12;14;11;19;9;8;6;5;6;3;5;4;
1791;91;16;54;37;7;6;6;0;5;2;4;7;11;19;13;11;3;5;10;3;9;3;4;3;2;3;3;6;
1792;86;26;100;-14;10;10;4;4;7;2;7;6;8;9;8;11;11;12;12;14;9;1;2;7;15;2;7;8;
1793;122;22;153;-31;16;20;10;4;6;3;9;9;7;12;12;14;16;47;47;11;6;6;7;4;2;3;2;2;
1794;118;23;36;82;18;17;14;8;7;4;5;9;7;10;9;10;2;5;5;0;1;2;1;4;2;4;5;5;
1795;81;17;70;11;13;14;7;8;3;1;4;3;8;4;8;8;10;7;18;12;8;4;5;1;1;2;2;0;
1796;96;28;47;49;13;7;4;6;6;4;7;9;6;11;12;11;2;8;5;5;4;3;4;3;4;2;2;5;
1797;108;14;54;54;8;21;16;1;4;2;13;5;13;5;9;11;4;9;9;3;2;7;4;4;1;4;3;4;
1798;85;10;72;13;7;10;11;4;8;4;3;7;8;8;8;7;5;8;6;5;5;5;1;2;3;10;8;14;
1799;101;30;64;37;8;9;4;5;10;6;7;5;11;11;7;18;6;7;8;6;4;1;3;2;14;2;3;8;
1800;111;29;88;23;10;14;13;3;7;4;3;10;5;14;13;15;6;2;7;3;4;5;3;2;15;18;5;18;
1801;91;19;231;-140;10;6;6;6;7;3;6;6;5;7;8;21;32;48;83;28;16;7;4;2;1;3;5;2;
1802;135;23;67;68;13;11;16;8;5;8;4;7;16;16;13;18;6;8;10;9;10;2;1;3;1;3;7;7;
1803;82;11;62;20;8;17;9;7;1;6;3;6;6;8;3;8;12;7;12;7;2;3;2;4;6;0;0;7;
1804;106;19;44;62;11;6;7;11;6;3;5;7;7;13;16;14;0;2;4;4;4;2;2;3;4;5;5;9;
1805;87;14;99;-12;10;12;13;6;5;6;1;6;6;12;7;3;6;5;8;6;7;6;8;8;9;9;13;14;
1806;59;36;116;-57;5;8;2;3;1;0;3;3;6;13;7;8;10;14;20;25;9;8;8;2;3;6;6;5;
1807;99;18;91;8;19;7;7;2;4;2;7;12;10;8;9;12;16;21;23;8;2;1;5;2;2;3;2;6;
1808;95;25;66;29;16;15;7;5;7;4;5;5;8;9;8;6;1;3;7;7;14;2;7;5;2;4;8;6;
1809;77;33;73;4;8;10;6;15;7;6;4;5;4;3;4;5;5;6;12;21;8;4;1;3;4;1;1;7;
1810;88;26;126;-38;8;7;15;8;5;0;2;5;10;10;9;9;25;32;16;13;9;8;6;3;4;3;2;5;
1811;118;28;57;61;13;12;9;9;7;11;5;8;11;17;7;9;4;3;7;8;1;1;4;3;1;10;6;9;
1812;95;22;77;18;13;10;10;6;3;3;3;10;9;9;13;6;17;12;8;14;8;4;1;2;1;2;5;3;
1813;108;27;49;59;10;12;14;7;3;6;2;6;8;12;16;12;6;5;11;9;4;3;0;0;2;4;1;4;
1814;101;12;73;28;12;9;7;7;11;6;5;3;11;6;12;12;7;9;9;8;14;7;6;3;0;3;4;3;
1815;90;15;51;39;10;6;4;2;5;1;4;9;10;15;14;10;8;3;5;2;4;1;6;7;0;4;4;7;
1816;97;19;63;34;10;9;6;8;3;3;8;11;9;10;14;6;10;6;4;5;5;6;3;2;7;4;1;10;
1817;81;28;80;1;6;18;7;7;5;3;4;2;7;7;8;7;6;4;16;7;8;7;6;2;11;1;5;7;
1818;67;6;102;-35;4;5;3;1;2;3;4;5;9;10;10;11;4;8;14;19;17;12;5;2;2;3;7;9;
1819;133;26;48;85;13;8;18;9;8;7;6;12;15;12;10;15;7;1;7;4;7;3;2;2;3;5;4;3;
1820;77;28;77;0;15;4;10;3;3;0;6;2;9;8;3;14;9;10;12;15;12;6;2;1;0;1;2;7;
1821;128;23;48;80;12;19;12;9;14;8;6;10;8;8;9;13;2;5;7;5;2;4;8;2;2;3;3;5;
1822;86;33;85;1;8;13;8;3;9;2;3;6;9;5;10;10;6;12;15;15;5;14;3;5;1;3;3;3;
1823;103;22;78;25;10;15;12;4;11;4;5;5;14;6;7;10;14;6;5;3;7;2;6;2;13;7;6;7;
1824;122;29;135;-13;6;11;5;6;4;9;12;12;10;10;23;14;16;10;26;36;15;6;8;4;1;3;7;3;
1825;143;26;68;75;20;19;12;8;7;4;7;11;7;14;10;24;5;14;14;8;5;6;4;1;0;1;6;4;
1826;103;21;49;54;7;20;10;9;6;0;2;5;7;12;13;12;3;6;3;1;4;2;3;2;11;3;5;6;
1827;102;25;65;37;16;15;11;8;8;1;5;1;7;5;16;9;1;8;11;4;8;7;5;5;2;3;5;6;
1828;113;11;55;58;17;13;11;3;4;4;3;9;14;7;14;14;7;7;5;1;1;4;1;3;7;7;4;8;
1829;84;21;75;9;12;7;8;2;2;1;4;2;12;7;16;11;14;13;14;2;5;3;1;1;4;5;9;4;
1830;92;37;144;-52;17;9;4;8;3;1;2;5;10;9;11;13;14;11;12;15;8;1;4;16;16;19;19;9;
1831;112;14;160;-48;13;10;14;4;7;7;7;15;9;7;7;12;15;19;15;20;7;6;5;12;26;20;11;4;
1832;89;33;40;49;6;11;5;3;4;4;5;4;8;10;19;10;1;4;15;1;1;0;1;0;2;2;7;6;
1833;103;41;53;50;11;7;9;5;8;4;8;6;12;12;11;10;9;5;12;6;8;2;2;2;0;1;2;4;
1834;124;35;47;77;14;19;18;7;7;7;4;6;6;9;16;11;3;6;9;0;0;4;0;2;4;6;6;7;
1835;95;8;163;-68;19;11;12;12;1;8;6;4;6;4;6;6;11;10;8;10;48;26;17;9;5;4;7;8;
1836;110;34;63;47;3;1;2;6;8;9;4;17;8;18;18;16;10;9;5;6;5;5;1;4;6;6;1;5;
1837;132;45;94;38;24;19;14;9;6;4;4;9;5;18;11;9;12;8;30;8;5;3;5;3;4;2;7;7;
1838;98;26;77;21;7;21;9;6;4;6;3;8;5;6;11;12;10;5;8;6;6;6;4;4;2;9;11;6;
1839;135;29;141;-6;23;8;14;7;7;5;5;10;15;11;15;15;16;14;23;16;8;5;4;8;4;6;23;14;
1840;125;20;129;-4;7;22;12;5;11;5;6;11;8;15;16;7;24;23;19;23;10;6;1;7;6;6;2;2;
1841;101;21;69;32;12;12;15;5;2;3;6;9;4;5;16;12;8;6;3;11;7;5;3;6;4;6;5;5;
1842;129;31;64;65;13;5;10;7;7;7;10;16;14;17;10;13;6;7;10;6;10;6;0;3;3;2;5;6;
1843;117;40;88;29;10;12;6;10;9;7;6;8;12;14;10;13;3;11;15;10;6;5;5;8;4;5;8;8;
1844;123;36;86;37;19;14;11;5;9;12;3;4;13;9;10;14;13;12;14;15;11;2;7;3;4;2;1;2;
1845;126;20;74;52;16;20;15;6;5;1;10;8;6;6;13;20;11;6;6;8;1;6;0;8;9;6;5;8;
1846;90;24;96;-6;12;11;11;8;5;3;7;5;5;7;10;6;5;12;19;9;12;10;4;7;4;2;4;8;
1847;91;18;144;-53;14;16;8;4;4;8;9;4;5;6;10;3;12;10;15;10;14;16;5;9;13;10;20;10;
1848;71;52;84;-13;5;5;2;2;0;4;2;3;6;7;19;16;15;9;6;8;9;6;6;4;5;7;4;5;
1849;132;29;139;-7;14;12;15;6;10;5;15;11;10;17;10;7;11;16;26;17;11;6;5;17;15;6;4;5;
1850;112;42;97;15;14;8;11;4;3;11;9;5;11;9;14;13;15;12;18;9;8;4;3;0;4;5;4;15;
1851;103;31;120;-17;12;11;11;6;6;9;3;8;8;8;17;4;12;18;16;20;11;7;5;6;4;8;6;7;
1852;153;34;64;89;22;20;12;10;10;6;6;9;16;11;16;15;8;6;8;6;8;1;4;3;9;3;2;6;
1853;96;9;84;12;13;13;14;6;2;2;5;7;10;8;8;8;12;17;11;9;7;2;2;4;6;3;6;5;
1854;87;14;77;10;10;9;9;9;5;4;4;3;9;12;7;6;8;6;9;7;10;9;7;6;3;2;5;5;
1855;85;9;147;-62;9;12;8;6;1;2;9;7;8;5;10;8;8;14;25;15;15;2;6;11;18;13;12;8;
1856;116;17;73;43;9;14;10;4;10;7;7;5;13;9;13;15;13;11;7;10;6;4;5;0;6;7;2;2;
1857;110;16;76;34;13;10;9;9;2;3;11;6;10;10;17;10;12;12;8;4;2;1;3;4;5;4;6;15;
1858;86;12;84;2;19;15;8;4;3;4;6;7;4;5;5;6;11;7;2;6;18;6;4;11;8;3;5;3;
1859;107;11;55;52;9;10;6;6;11;6;8;14;6;10;11;10;6;4;5;8;6;3;5;6;6;2;1;3;
1860;89;27;55;34;9;9;10;3;3;7;5;9;7;6;10;11;5;4;5;8;0;2;3;3;2;4;11;8;
1861;102;33;89;13;12;10;16;5;3;1;4;5;5;18;13;10;6;7;5;7;11;14;7;5;5;5;6;11;
1862;97;32;125;-28;12;10;10;5;5;6;6;8;12;8;12;3;5;8;8;8;30;12;6;4;5;4;13;22;
1863;130;29;109;21;15;21;14;9;11;7;4;7;8;11;16;7;22;13;11;16;5;9;4;7;5;5;7;5;
1864;84;22;88;-4;9;12;7;5;3;6;10;4;6;9;9;4;10;7;12;13;17;2;5;5;8;3;2;4;
1865;109;33;96;13;7;6;7;5;6;6;8;12;13;19;8;12;4;8;13;11;8;11;4;15;5;7;5;5;
1866;118;27;117;1;15;11;10;3;3;9;8;9;19;13;6;12;10;8;12;11;7;3;9;9;4;28;11;5;
1867;97;18;83;14;17;14;14;5;7;1;6;5;10;5;5;8;17;7;14;12;5;9;7;2;2;1;4;3;
1868;118;48;81;37;4;5;6;4;7;6;10;10;15;14;19;18;4;4;7;6;8;10;7;7;5;7;11;5;
1869;125;45;98;27;13;13;14;12;8;4;7;5;11;12;15;11;16;16;18;9;3;3;7;4;6;8;1;7;
1870;121;31;96;25;14;13;10;10;3;5;10;12;9;13;13;9;8;13;18;5;8;1;5;11;8;6;5;8;
1871;115;32;99;16;11;9;10;7;3;2;3;10;16;11;18;15;11;10;15;10;16;3;4;5;6;11;6;2;
1872;117;27;87;30;14;9;16;6;8;4;6;7;11;11;14;11;13;25;8;6;3;3;1;5;5;3;4;11;
1873;148;32;186;-38;14;16;16;13;8;9;8;14;10;14;11;15;25;26;31;24;9;1;4;7;15;13;24;7;
1874;121;33;79;42;23;14;11;8;8;6;13;1;8;11;7;11;12;8;10;2;7;4;5;10;2;9;8;2;
1875;122;28;96;26;6;14;7;4;5;3;14;9;14;20;12;14;16;9;13;13;13;5;5;5;2;4;5;6;
1876;134;31;84;50;13;16;20;9;6;5;13;13;11;12;6;10;9;6;9;6;8;4;5;6;5;8;8;10;
1877;107;33;142;-35;11;15;8;8;5;3;3;11;12;11;10;10;17;15;16;17;21;12;10;4;5;6;11;8;
1878;130;36;114;16;10;8;20;8;14;4;8;11;19;11;9;8;11;18;19;16;7;6;5;3;3;10;9;7;
1879;117;28;128;-11;8;7;22;9;8;2;8;13;11;8;9;12;17;15;17;5;4;4;4;9;17;17;5;14;
1880;113;16;114;-1;13;16;7;4;3;11;12;11;6;7;12;11;18;18;9;12;6;7;7;8;5;7;9;8;
1881;100;28;103;-3;13;11;10;1;6;5;4;12;11;8;11;8;11;13;16;14;7;8;2;8;4;7;7;6;
1882;135;28;120;15;14;12;14;7;2;16;14;9;12;13;13;9;3;8;11;14;12;11;5;16;7;9;10;14;
1883;139;38;90;49;17;8;10;6;7;11;10;11;13;15;11;20;13;12;7;9;9;5;6;6;7;9;5;2;
1884;133;29;140;-7;15;18;13;10;6;3;11;13;11;8;13;12;14;25;18;26;8;4;4;9;12;9;6;5;
1885;139;24;115;24;9;14;12;9;14;6;9;8;14;11;14;19;15;22;20;11;14;4;5;4;7;5;4;4;
1886;134;30;87;47;17;19;13;7;7;15;14;7;9;11;8;7;7;16;20;6;5;7;4;5;1;4;6;6;
1887;122;30;118;4;12;5;10;7;15;7;9;14;9;11;15;8;8;22;13;5;5;11;9;10;8;6;8;13;
1888;132;38;171;-39;15;13;16;10;5;7;10;8;15;14;10;9;24;20;24;29;25;18;6;5;3;5;6;6;
1889;129;19;81;48;11;7;12;15;4;8;11;9;9;15;20;8;8;8;6;6;4;1;7;3;5;8;10;15;
1890;111;22;118;-7;13;16;9;4;12;11;7;10;11;8;4;6;5;31;11;9;9;8;5;10;8;8;6;8;
1891;114;25;77;37;8;8;5;4;2;7;8;9;17;17;10;19;18;14;12;3;4;0;3;7;1;5;5;5;
1892;108;14;72;36;16;9;10;6;9;10;8;7;7;10;6;10;9;8;9;9;4;6;2;3;3;5;9;5;
1893;114;37;103;11;11;8;4;14;5;10;7;10;16;9;10;10;11;10;13;10;9;9;3;5;4;7;12;10;
1894;154;37;106;48;17;9;15;14;10;4;12;16;15;14;11;17;21;10;10;10;8;10;3;2;7;4;5;16;
1895;116;34;115;1;17;8;6;5;8;9;9;7;14;12;6;15;16;11;15;5;4;4;8;8;8;12;10;14;
1896;135;36;153;-18;14;14;6;7;9;5;15;13;10;14;13;15;40;22;36;13;13;11;1;5;2;5;1;4;
1897;156;44;103;53;19;9;15;11;14;11;14;16;14;8;17;8;14;14;13;14;8;5;5;9;6;6;6;3;
1898;130;22;58;72;11;15;19;9;4;8;6;9;10;10;14;15;7;10;13;3;1;4;3;0;6;2;3;6;
1899;129;35;59;70;9;6;13;11;10;7;11;11;7;15;12;17;5;11;9;3;7;1;6;0;4;4;4;5;
1900;150;26;95;55;14;17;12;7;13;4;15;11;19;13;13;12;12;13;22;10;7;0;3;4;4;6;8;6;
